USER_ID,ITEM_ID,timestamp
1,1,964982703
1,3,964981247
1,6,964982224
1,47,964983815
1,50,964982931
1,70,964982400
1,101,964980868
1,110,964982176
1,151,964984041
1,157,964984100
1,163,964983650
1,216,964981208
1,223,964980985
1,231,964981179
1,235,964980908
1,260,964981680
1,296,964982967
1,316,964982310
1,333,964981179
1,349,964982563
1,356,964980962
1,362,964982588
1,367,964981710
1,423,964982363
1,441,964980868
1,457,964981909
1,480,964982346
1,500,964981208
1,527,964984002
1,543,964981179
1,552,964982653
1,553,964984153
1,590,964982546
1,592,964982271
1,593,964983793
1,596,964982838
1,608,964982931
1,648,964982563
1,661,964982838
1,673,964981775
1,733,964982400
1,736,964982653
1,780,964984086
1,804,964980499
1,919,964982475
1,923,964981529
1,940,964982176
1,943,964983614
1,954,964983219
1,1009,964981775
1,1023,964982681
1,1024,964982876
1,1025,964982791
1,1029,964982855
1,1030,964982903
1,1031,964982653
1,1032,964982791
1,1042,964981179
1,1049,964982400
1,1060,964980924
1,1073,964981680
1,1080,964981327
1,1089,964982951
1,1090,964984018
1,1092,964983484
1,1097,964981680
1,1127,964982513
1,1136,964981327
1,1196,964981827
1,1197,964981872
1,1198,964981827
1,1206,964983737
1,1208,964983250
1,1210,964980499
1,1213,964982951
1,1214,964981855
1,1219,964983393
1,1220,964981909
1,1222,964981909
1,1224,964984018
1,1226,964983618
1,1240,964983723
1,1256,964981442
1,1258,964983414
1,1265,964983599
1,1270,964983705
1,1275,964982290
1,1278,964983414
1,1282,964982703
1,1291,964981909
1,1298,964984086
1,1348,964983393
1,1377,964982653
1,1396,964983017
1,1408,964982310
1,1445,964984112
1,1473,964980875
1,1500,964980985
1,1517,964981107
1,1552,964982620
1,1573,964982290
1,1580,964981125
1,1587,964982346
1,1617,964982951
1,1620,964983056
1,1625,964983504
1,1644,964983536
1,1676,964982620
1,1732,964981125
1,1777,964981230
1,1793,964981404
1,1804,964983034
1,1805,964983056
1,1920,964981780
1,1927,964981497
1,1954,964982176
1,1967,964981710
1,2000,964982211
1,2005,964981710
1,2012,964984176
1,2018,964980523
1,2028,964981888
1,2033,964982903
1,2046,964982563
1,2048,964982791
1,2054,964981747
1,2058,964982400
1,2078,964982838
1,2090,964982838
1,2093,964981710
1,2094,964982653
1,2096,964982838
1,2099,964982588
1,2105,964981725
1,2115,964982529
1,2116,964982876
1,2137,964982791
1,2139,964982791
1,2141,964982838
1,2143,964981725
1,2161,964981710
1,2174,964981680
1,2193,964981710
1,2253,964981775
1,2268,964982989
1,2273,964982310
1,2291,964983664
1,2329,964983263
1,2338,964983546
1,2353,964983861
1,2366,964982462
1,2387,964983123
1,2389,964983094
1,2395,964981093
1,2406,964982310
1,2414,964982513
1,2427,964982242
1,2450,964982620
1,2459,964983414
1,2470,964982588
1,2478,964984169
1,2492,965719662
1,2502,964981278
1,2528,964982328
1,2529,964982242
1,2542,964981265
1,2571,964981888
1,2580,964983000
1,2596,964981144
1,2616,964983080
1,2617,964982588
1,2628,964980523
1,2640,964982377
1,2641,964982620
1,2644,964983393
1,2648,964983414
1,2654,964983393
1,2657,964983426
1,2692,964981855
1,2700,964980985
1,2716,964983414
1,2761,964982703
1,2797,964981710
1,2826,964980523
1,2858,964980868
1,2872,964981680
1,2899,964982703
1,2916,964982290
1,2944,964981872
1,2947,964982176
1,2948,964982191
1,2949,964981888
1,2959,964983282
1,2985,964983034
1,2987,964982495
1,2991,964982271
1,2993,964982242
1,2997,964980896
1,3033,964983762
1,3034,964982791
1,3052,964981208
1,3053,964984086
1,3062,964981872
1,3147,964983873
1,3168,964982495
1,3176,964983504
1,3243,964981093
1,3247,964983108
1,3253,964981107
1,3273,964983536
1,3386,964983484
1,3439,964981799
1,3440,964981799
1,3441,964982328
1,3448,964984054
1,3450,964981144
1,3479,964981725
1,3489,964981775
1,3527,964982271
1,3578,964980668
1,3617,964980683
1,3639,964982271
1,3671,964981589
1,3702,964983737
1,3703,964981909
1,3729,964982363
1,3740,964982417
1,3744,964980694
1,3793,964981855
1,3809,964981220
1,4006,964982903
1,5060,964984002
2,318,1445714835
2,333,1445715029
